Distance,TransportationMode,WeatherConditions,TrafficConditions,FuelPrices,DeliveryTime,TransportationCompany,TransportationCost
152,Ship,Rainy,Low,3.339508902,22,Company C,228
485,Air,Snowy,Medium,2.804746101,23,Company B,2425
398,Truck,Snowy,High,2.596013714,3,Company A,796
320,Truck,Snowy,Medium,3.250956121,16,Company B,640
156,Truck,Snowy,Medium,2.309715148,15,Company C,312
121,Ship,Sunny,High,2.745999671,20,Company A,181.5
238,Air,Snowy,Low,2.418074075,12,Company B,1190
70,Truck,Rainy,High,3.391589934,16,Company A,140
152,Air,Sunny,Medium,3.888417677,7,Company A,760
171,Air,Snowy,Low,3.991021936,21,Company B,855
264,Truck,Sunny,High,2.900553621,10,Company B,528
380,Truck,Rainy,Low,2.505060779,6,Company C,760
137,Air,Snowy,Low,2.885658741,21,Company C,685
422,Truck,Rainy,High,3.69453882,3,Company A,844
149,Truck,Snowy,Low,,7,Company C,298
409,Truck,Snowy,High,3.904191303,19,Company A,818
201,Ship,Snowy,Medium,2.683731538,24,Company A,301.5
180,Air,Snowy,Low,3.971607319,20,Company C,900
199,Air,Snowy,Medium,3.677217775,,Company C,995
358,Ship,Sunny,Medium,3.617141068,22,Company C,537
307,Air,Snowy,Low,2.635809348,7,Company B,1535
393,Truck,Snowy,High,2.017554424,15,Company A,786
463,Air,Sunny,Low,2.764265818,14,Company A,2315
,Truck,Sunny,Medium,2.603618739,12,Company A,686
435,Ship,Sunny,Medium,2.074793981,13,Company C,652.5
241,Truck,Sunny,High,3.010730513,20,Company C,482
493,Air,Sunny,Low,2.806062623,20,Company C,2465
326,Air,Sunny,Medium,3.269112935,22,Company C,1630
210,Air,Snowy,Medium,3.242372644,20,Company C,1050
363,Ship,Snowy,Medium,2.241493272,14,Company B,544.5
71,Ship,Rainy,High,3.953931092,15,Company C,106.5
302,Air,Snowy,Medium,2.373862859,19,Company A,1510
285,Truck,Snowy,Medium,2.89054805,13,Company C,570
394,Ship,Sunny,Low,2.976235087,5,Company A,591
98,Air,Sunny,Low,3.626125594,11,Company C,
108,Air,Snowy,Medium,2.198459192,18,Company C,540
219,Ship,Rainy,Medium,2.857288558,5,Company A,328.5
237,Ship,Sunny,Low,3.25700434,13,Company A,355.5
320,Ship,Snowy,High,2.430311243,14,Company A,480
239,Truck,Snowy,High,3.254935798,5,Company A,478
495,Truck,Rainy,High,3.847329675,11,Company B,990
224,Air,Rainy,High,3.995036262,4,Company A,1120
495,Ship,Sunny,High,2.064902154,16,Company C,742.5
100,Truck,Rainy,High,2.471176456,3,Company C,200
